ArtID,TpcID
VKKXWB2W,Tpc40
NW84NRHJ,Tpc86
ZWCTW2DK,Tpc23
6QMG5C2F,Tpc91
N7VRTK35,Tpc92
M5DAIX66,Tpc94
2KE6MTA2,Tpc72
URCK287K,Tpc95
ZDXPKKB4,Tpc96
AF2IQBZI,Tpc98
X4IWKIQ5,Tpc101
FAGVRXD3,Tpc20
83EGGPUZ,Tpc102
2QUC36D3,Tpc104
FPEMH4WZ,Tpc108
656GRD42,Tpc25
7UUX3TU6,Tpc11
2K3MD49Z,Tpc11
4QHEUD3F,Tpc15
JXH24K83,Tpc11
WV9EX8W8,Tpc3
KHH4KSFE,Tpc120
QH7A387M,Tpc3
STKZ9PR5,Tpc121
UHDAQ4TM,Tpc123
C6FS7DRA,Tpc3
QVXDVSRM,Tpc30
S5386EHW,Tpc125
SZQPMEQ9,Tpc20
IS9PH3IH,Tpc129
QUXSWEHT,Tpc99
VAR9CIEZ,Tpc133
5QX72EUI,Tpc133
Q42VZWHK,Tpc133
J73Q2JNP,Tpc134
CEVZDCVS,Tpc137
XSXWCW7Q,Tpc30
3BT28NEW,Tpc11
GQFX454U,Tpc11
6NV9663K,Tpc143
HEHREDTU,Tpc58
HFZ4U584,Tpc7
EGJWSHJQ,Tpc4
UVZ2G8BR,Tpc39
9TJRKBP3,Tpc46
INM44PCR,Tpc6
26HI6F5X,Tpc57
RA7E7IEW,Tpc67
WD7KG637,Tpc25
G47MHPCA,Tpc3
QKIUBM6R,Tpc83
TG6I9JKN,Tpc71
NW84NRHJ,Tpc3
3TRF5PHJ,Tpc87
N7VRTK35,Tpc3
URCK287K,Tpc95
ZDXPKKB4,Tpc97
I6KFKVZJ,Tpc21
NWIX65H7,Tpc100
PU5Z6PEX,Tpc20
AF2IQBZI,Tpc103
M5DAIX66,Tpc40
VKKXWB2W,Tpc3
FPEMH4WZ,Tpc109
I2KZWCE7,Tpc84
83EGGPUZ,Tpc84
VPFR7P5H,Tpc84
DEZTGVWE,Tpc84
2KE6MTA2,Tpc110
7UUX3TU6,Tpc15
4QHEUD3F,Tpc124
656GRD42,Tpc126
UHDAQ4TM,Tpc12
WV9EX8W8,Tpc3
X4IWKIQ5,Tpc133
KHH4KSFE,Tpc133
5QX72EUI,Tpc37
QH7A387M,Tpc3
2K3MD49Z,Tpc30
2QUC36D3,Tpc11
XSXWCW7Q,Tpc11
QUXSWEHT,Tpc11
J73Q2JNP,Tpc142
QVXDVSRM,Tpc3
VAR9CIEZ,Tpc58
HFZ4U584,Tpc15
UVZ2G8BR,Tpc30
EGJWSHJQ,Tpc57
9TJRKBP3,Tpc83
TG6I9JKN,Tpc71
WD7KG637,Tpc64
G47MHPCA,Tpc40
NW84NRHJ,Tpc3
RA7E7IEW,Tpc3
N7VRTK35,Tpc84
INM44PCR,Tpc6
26HI6F5X,Tpc84
I2KZWCE7,Tpc84
ZDXPKKB4,Tpc84
AF2IQBZI,Tpc25
I6KFKVZJ,Tpc113
QKIUBM6R,Tpc113
83EGGPUZ,Tpc11
VKKXWB2W,Tpc11
PU5Z6PEX,Tpc30
2KE6MTA2,Tpc120
VPFR7P5H,Tpc20
3TRF5PHJ,Tpc12
URCK287K,Tpc72
7UUX3TU6,Tpc3
656GRD42,Tpc133
4QHEUD3F,Tpc37
2K3MD49Z,Tpc30
X4IWKIQ5,Tpc30
QH7A387M,Tpc11
DEZTGVWE,Tpc138
KHH4KSFE,Tpc120
2QUC36D3,Tpc58
HFZ4U584,Tpc23
EGJWSHJQ,Tpc83
G47MHPCA,Tpc15
WD7KG637,Tpc15
9TJRKBP3,Tpc3
NW84NRHJ,Tpc3
26HI6F5X,Tpc111
ZDXPKKB4,Tpc115
UVZ2G8BR,Tpc40
INM44PCR,Tpc122
AF2IQBZI,Tpc123
RA7E7IEW,Tpc124
VPFR7P5H,Tpc124
N7VRTK35,Tpc124
I2KZWCE7,Tpc124
TG6I9JKN,Tpc3
VKKXWB2W,Tpc3
I6KFKVZJ,Tpc99
656GRD42,Tpc133
3TRF5PHJ,Tpc12
PU5Z6PEX,Tpc136
83EGGPUZ,Tpc11
2K3MD49Z,Tpc11
7UUX3TU6,Tpc11
QKIUBM6R,Tpc11
4QHEUD3F,Tpc30
X4IWKIQ5,Tpc37
URCK287K,Tpc37
KHH4KSFE,Tpc58
HFZ4U584,Tpc7
G47MHPCA,Tpc58
NW84NRHJ,Tpc40
